image_path,label,code,date,future_return
data\images\train\hk.00001\2020-05-20.png,0,hk.00001,2020-05-20,-0.08217913204062781
data\images\train\hk.00001\2020-05-21.png,0,hk.00001,2020-05-21,-0.09474671669793616
data\images\train\hk.00001\2020-05-22.png,0,hk.00001,2020-05-22,-0.04723618090452264
data\images\train\hk.00001\2020-05-25.png,0,hk.00001,2020-05-25,-0.006122448979591778
data\images\train\hk.00001\2020-05-26.png,0,hk.00001,2020-05-26,-0.016881827209533296
data\images\train\hk.00001\2020-05-27.png,0,hk.00001,2020-05-27,0.017102615694164873
data\images\train\hk.00001\2020-05-28.png,1,hk.00001,2020-05-28,0.06321243523316056
data\images\train\hk.00001\2020-05-29.png,1,hk.00001,2020-05-29,0.13080168776371315
data\images\train\hk.00001\2020-06-01.png,1,hk.00001,2020-06-01,0.11601642710472276
data\images\train\hk.00001\2020-06-02.png,1,hk.00001,2020-06-02,0.11919191919191917
data\images\train\hk.00001\2020-06-03.png,1,hk.00001,2020-06-03,0.08407517309594462
data\images\train\hk.00001\2020-06-04.png,1,hk.00001,2020-06-04,0.027290448343080035
data\images\train\hk.00001\2020-06-05.png,0,hk.00001,2020-06-05,-0.028917910447761274
data\images\train\hk.00001\2020-06-08.png,0,hk.00001,2020-06-08,-0.0699172033118676
data\images\train\hk.00001\2020-06-09.png,0,hk.00001,2020-06-09,-0.06498194945848378
data\images\train\hk.00001\2020-06-10.png,0,hk.00001,2020-06-10,-0.04470802919708022
data\images\train\hk.00001\2020-06-11.png,0,hk.00001,2020-06-11,-0.01802656546489569
data\images\train\hk.00001\2020-06-12.png,0,hk.00001,2020-06-12,-0.004803073967339097
data\images\train\hk.00001\2020-06-15.png,0,hk.00001,2020-06-15,0.01285855588526223
data\images\train\hk.00001\2020-06-16.png,0,hk.00001,2020-06-16,-0.017374517374517347
data\images\train\hk.00001\2020-06-17.png,0,hk.00001,2020-06-17,-0.032473734479465194
data\images\train\hk.00001\2020-06-18.png,0,hk.00001,2020-06-18,-0.0367149758454106
data\images\train\hk.00001\2020-06-19.png,0,hk.00001,2020-06-19,-0.04922779922779918
data\images\train\hk.00001\2020-06-22.png,0,hk.00001,2020-06-22,-0.02734375000000011
data\images\train\hk.00001\2020-06-23.png,0,hk.00001,2020-06-23,0.006876227897838928
data\images\train\hk.00001\2020-06-24.png,1,hk.00001,2020-06-24,0.02171767028627841
data\images\train\hk.00001\2020-06-26.png,1,hk.00001,2020-06-26,0.07923771313941817
data\images\train\hk.00001\2020-06-29.png,1,hk.00001,2020-06-29,0.07005076142131986
data\images\train\hk.00001\2020-06-30.png,1,hk.00001,2020-06-30,0.045180722891566265
data\images\train\hk.00001\2020-07-02.png,0,hk.00001,2020-07-02,0.0019512195121951497
data\images\train\hk.00001\2020-07-03.png,0,hk.00001,2020-07-03,-0.02705314009661833
data\images\train\hk.00001\2020-07-06.png,0,hk.00001,2020-07-06,-0.05669144981412635
data\images\train\hk.00001\2020-07-07.png,0,hk.00001,2020-07-07,-0.018975332068311195
data\images\train\hk.00001\2020-07-08.png,0,hk.00001,2020-07-08,-0.016330451488952822
data\images\train\hk.00001\2020-07-09.png,0,hk.00001,2020-07-09,-0.006815968841285325
data\images\train\hk.00001\2020-07-10.png,0,hk.00001,2020-07-10,0.011916583912611746
data\images\train\hk.00001\2020-07-13.png,0,hk.00001,2020-07-13,0.0019704433497537226
data\images\train\hk.00001\2020-07-14.png,0,hk.00001,2020-07-14,-0.016441005802707957
data\images\train\hk.00001\2020-07-15.png,0,hk.00001,2020-07-15,-0.01757812500000011
data\images\train\hk.00001\2020-07-16.png,0,hk.00001,2020-07-16,-0.016666666666666694
data\images\train\hk.00001\2020-07-17.png,0,hk.00001,2020-07-17,-0.022571148184494714
data\images\train\hk.00001\2020-07-20.png,0,hk.00001,2020-07-20,-0.031465093411996096
data\images\train\hk.00001\2020-07-21.png,0,hk.00001,2020-07-21,-0.01966568338249754
data\images\train\hk.00001\2020-07-22.png,0,hk.00001,2020-07-22,-0.005964214711729566
data\images\train\hk.00001\2020-07-23.png,0,hk.00001,2020-07-23,0.007976071784646033
data\images\train\hk.00001\2020-07-24.png,0,hk.00001,2020-07-24,0.015060240963855423
data\images\train\hk.00001\2020-07-27.png,1,hk.00001,2020-07-27,0.02233502538071069
data\images\train\hk.00001\2020-07-28.png,1,hk.00001,2020-07-28,0.037111334002006044
data\images\train\hk.00001\2020-07-29.png,1,hk.00001,2020-07-29,0.025
data\images\train\hk.00001\2020-07-30.png,0,hk.00001,2020-07-30,0.006923837784371938
data\images\train\hk.00001\2020-07-31.png,0,hk.00001,2020-07-31,-0.01483679525222552
data\images\train\hk.00001\2020-08-03.png,0,hk.00001,2020-08-03,-0.010923535253227493
data\images\train\hk.00001\2020-08-04.png,0,hk.00001,2020-08-04,-0.010638297872340507
data\images\train\hk.00001\2020-08-05.png,1,hk.00001,2020-08-05,0.02341463414634152
data\images\train\hk.00001\2020-08-06.png,1,hk.00001,2020-08-06,0.027504911591355572
data\images\train\hk.00001\2020-08-07.png,1,hk.00001,2020-08-07,0.044176706827309294
data\images\train\hk.00001\2020-08-10.png,1,hk.00001,2020-08-10,0.05120481927710852
data\images\train\hk.00001\2020-08-11.png,0,hk.00001,2020-08-11,0.019550342130987292
data\images\train\hk.00001\2020-08-12.png,0,hk.00001,2020-08-12,-0.013346043851286994
data\images\train\hk.00001\2020-08-13.png,0,hk.00001,2020-08-13,-0.033460803059273424
data\images\train\hk.00001\2020-08-14.png,0,hk.00001,2020-08-14,-0.018269230769230822
data\images\train\hk.00001\2020-08-17.png,0,hk.00001,2020-08-17,-0.014326647564469913
data\images\train\hk.00001\2020-08-18.png,0,hk.00001,2020-08-18,-0.010546500479386331
data\images\train\hk.00001\2020-08-19.png,0,hk.00001,2020-08-19,-0.013526570048309233
data\images\train\hk.00001\2020-08-20.png,0,hk.00001,2020-08-20,0.0
data\images\train\hk.00001\2020-08-21.png,0,hk.00001,2020-08-21,-0.007835455435847181
data\images\train\hk.00001\2020-08-24.png,0,hk.00001,2020-08-24,-0.01647286821705429
data\images\train\hk.00001\2020-08-25.png,0,hk.00001,2020-08-25,-0.025193798449612486
data\images\train\hk.00001\2020-08-26.png,0,hk.00001,2020-08-26,-0.01860920666013704
data\images\train\hk.00001\2020-08-27.png,0,hk.00001,2020-08-27,-0.007912957467853582
data\images\train\hk.00001\2020-08-28.png,0,hk.00001,2020-08-28,-0.012833168805528107
data\images\train\hk.00001\2020-08-31.png,0,hk.00001,2020-08-31,-0.02266009852216746
data\images\train\hk.00001\2020-09-01.png,0,hk.00001,2020-09-01,-0.023856858846918405
data\images\train\hk.00001\2020-09-02.png,0,hk.00001,2020-09-02,-0.026946107784431166
data\images\train\hk.00001\2020-09-03.png,0,hk.00001,2020-09-03,-0.026919242273180488
data\images\train\hk.00001\2020-09-04.png,0,hk.00001,2020-09-04,-0.029000000000000057
data\images\train\hk.00001\2020-09-07.png,0,hk.00001,2020-09-07,-0.01108870967741944
data\images\train\hk.00001\2020-09-08.png,0,hk.00001,2020-09-08,0.0081466395112016
data\images\train\hk.00001\2020-09-09.png,0,hk.00001,2020-09-09,0.008205128205128176
data\images\train\hk.00001\2020-09-10.png,0,hk.00001,2020-09-10,-0.006147540983606499
data\images\train\hk.00001\2020-09-11.png,0,hk.00001,2020-09-11,0.007209062821833191
data\images\train\hk.00001\2020-09-14.png,0,hk.00001,2020-09-14,-0.020387359836901122
data\images\train\hk.00001\2020-09-15.png,0,hk.00001,2020-09-15,-0.05151515151515146
data\images\train\hk.00001\2020-09-16.png,0,hk.00001,2020-09-16,-0.04883011190233975
data\images\train\hk.00001\2020-09-17.png,0,hk.00001,2020-09-17,-0.04432989690721646
data\images\train\hk.00001\2020-09-18.png,0,hk.00001,2020-09-18,-0.048057259713701464
data\images\train\hk.00001\2020-09-21.png,0,hk.00001,2020-09-21,-0.03121748178980229
data\images\train\hk.00001\2020-09-22.png,0,hk.00001,2020-09-22,-0.009584664536741274
data\images\train\hk.00001\2020-09-23.png,0,hk.00001,2020-09-23,-0.00320855614973259
data\images\train\hk.00001\2020-09-24.png,0,hk.00001,2020-09-24,0.016181229773462782
data\images\train\hk.00001\2020-09-25.png,1,hk.00001,2020-09-25,0.023630504833512384
data\images\train\hk.00001\2020-09-28.png,1,hk.00001,2020-09-28,0.0290010741138561
data\images\train\hk.00001\2020-09-29.png,1,hk.00001,2020-09-29,0.023655913978494654
data\images\train\hk.00001\2020-09-30.png,0,hk.00001,2020-09-30,0.013948497854077223
data\images\train\hk.00001\2020-10-05.png,0,hk.00001,2020-10-05,0.004246284501061481
data\images\train\hk.00001\2020-10-06.png,0,hk.00001,2020-10-06,-0.015739769150052468
data\images\train\hk.00001\2020-10-07.png,0,hk.00001,2020-10-07,-0.031315240083507306
data\images\train\hk.00001\2020-10-08.png,0,hk.00001,2020-10-08,-0.03256302521008412
data\images\train\hk.00001\2020-10-09.png,0,hk.00001,2020-10-09,-0.019047619047619018
data\images\train\hk.00001\2020-10-12.png,0,hk.00001,2020-10-12,-0.026427061310782242
data\images\train\hk.00001\2020-10-14.png,0,hk.00001,2020-10-14,-0.015991471215351813
data\images\train\hk.00001\2020-10-15.png,0,hk.00001,2020-10-15,-0.0064655172413792495
data\images\train\hk.00001\2020-10-16.png,0,hk.00001,2020-10-16,0.0076004343105320615
data\images\train\hk.00001\2020-10-19.png,0,hk.00001,2020-10-19,0.008629989212513454
data\images\train\hk.00001\2020-10-20.png,0,hk.00001,2020-10-20,0.005428881650380022
data\images\train\hk.00001\2020-10-21.png,0,hk.00001,2020-10-21,0.002166847237269803
data\images\train\hk.00001\2020-10-22.png,0,hk.00001,2020-10-22,0.013015184381778773
data\images\train\hk.00001\2020-10-23.png,0,hk.00001,2020-10-23,0.0193965517241379
data\images\train\hk.00001\2020-10-27.png,1,hk.00001,2020-10-27,0.041711229946524125
data\images\train\hk.00001\2020-10-28.png,1,hk.00001,2020-10-28,0.047516198704103736
data\images\train\hk.00001\2020-10-29.png,1,hk.00001,2020-10-29,0.14162162162162156
data\images\train\hk.00001\2020-10-30.png,1,hk.00001,2020-10-30,0.10278372591006417
data\images\train\hk.00001\2020-11-02.png,1,hk.00001,2020-11-02,0.06553911205073999
data\images\train\hk.00001\2020-11-03.png,1,hk.00001,2020-11-03,0.06365503080082123
data\images\train\hk.00001\2020-11-04.png,1,hk.00001,2020-11-04,0.12164948453608244
data\images\train\hk.00001\2020-11-05.png,0,hk.00001,2020-11-05,0.013257575757575812
data\images\train\hk.00001\2020-11-06.png,1,hk.00001,2020-11-06,0.052427184466019475
data\images\train\hk.00001\2020-11-09.png,1,hk.00001,2020-11-09,0.09424603174603174
data\images\train\hk.00001\2020-11-10.png,1,hk.00001,2020-11-10,0.11969111969111976
data\images\train\hk.00001\2020-11-11.png,1,hk.00001,2020-11-11,0.06158088235294121
data\images\train\hk.00001\2020-11-12.png,1,hk.00001,2020-11-12,0.08504672897196257
data\images\train\hk.00001\2020-11-13.png,1,hk.00001,2020-11-13,0.04889298892988927
data\images\train\hk.00001\2020-11-16.png,1,hk.00001,2020-11-16,0.02629193109700821
data\images\train\hk.00001\2020-11-17.png,0,hk.00001,2020-11-17,-0.01982758620689653
data\images\train\hk.00001\2020-11-18.png,0,hk.00001,2020-11-18,0.0025974025974025727
data\images\train\hk.00001\2020-11-19.png,0,hk.00001,2020-11-19,-0.004306632213608958
data\images\train\hk.00001\2020-11-20.png,0,hk.00001,2020-11-20,0.011433597185576051
data\images\train\hk.00001\2020-11-23.png,0,hk.00001,2020-11-23,-0.006183745583038894
data\images\train\hk.00001\2020-11-24.png,0,hk.00001,2020-11-24,-0.01495162708883028
data\images\train\hk.00001\2020-11-25.png,0,hk.00001,2020-11-25,-0.007772020725388527
data\images\train\hk.00001\2020-11-26.png,0,hk.00001,2020-11-26,-0.02335640138408295
data\images\train\hk.00001\2020-11-27.png,0,hk.00001,2020-11-27,-0.013043478260869565
data\images\train\hk.00001\2020-11-30.png,0,hk.00001,2020-11-30,-0.0044444444444444444
data\images\train\hk.00001\2020-12-01.png,0,hk.00001,2020-12-01,-0.0008928571428570921
data\images\train\hk.00001\2020-12-02.png,0,hk.00001,2020-12-02,-0.028720626631853884
data\images\train\hk.00001\2020-12-03.png,0,hk.00001,2020-12-03,-0.010628875110717475
data\images\train\hk.00001\2020-12-04.png,0,hk.00001,2020-12-04,-0.018502202643171758
data\images\train\hk.00001\2020-12-07.png,0,hk.00001,2020-12-07,-0.016964285714285765
data\images\train\hk.00001\2020-12-08.png,0,hk.00001,2020-12-08,-0.03932082216264527
data\images\train\hk.00001\2020-12-09.png,0,hk.00001,2020-12-09,-0.028673835125447928
data\images\train\hk.00001\2020-12-10.png,0,hk.00001,2020-12-10,-0.03133393017009848
data\images\train\hk.00001\2020-12-11.png,0,hk.00001,2020-12-11,-0.02244165170556553
data\images\train\hk.00001\2020-12-14.png,0,hk.00001,2020-12-14,-0.019073569482288777
data\images\train\hk.00001\2020-12-15.png,0,hk.00001,2020-12-15,-0.02232558139534889
data\images\train\hk.00001\2020-12-16.png,0,hk.00001,2020-12-16,-0.019372693726937347
data\images\train\hk.00001\2020-12-17.png,0,hk.00001,2020-12-17,-0.008317929759704303
data\images\train\hk.00001\2020-12-18.png,0,hk.00001,2020-12-18,0.0009182736455463205
data\images\train\hk.00001\2020-12-21.png,0,hk.00001,2020-12-21,0.007407407407407381
data\images\train\hk.00001\2020-12-22.png,1,hk.00001,2020-12-22,0.04567078972407242
data\images\train\hk.00001\2020-12-23.png,0,hk.00001,2020-12-23,0.017873941674506167
data\images\train\hk.00001\2020-12-24.png,1,hk.00001,2020-12-24,0.037278657968313145
data\images\train\hk.00001\2020-12-28.png,1,hk.00001,2020-12-28,0.027522935779816515
data\images\train\hk.00001\2020-12-29.png,1,hk.00001,2020-12-29,0.031250000000000056
data\images\train\hk.00001\2020-12-30.png,1,hk.00001,2020-12-30,0.03730664240218375
data\images\train\hk.00001\2020-12-31.png,1,hk.00001,2020-12-31,0.05730129390018487
data\images\train\hk.00001\2021-01-04.png,0,hk.00001,2021-01-04,0.017969451931716084
data\images\train\hk.00001\2021-01-05.png,1,hk.00001,2021-01-05,0.02767857142857138
data\images\train\hk.00001\2021-01-06.png,1,hk.00001,2021-01-06,0.035650623885918005
data\images\train\hk.00001\2021-01-07.png,0,hk.00001,2021-01-07,0.007017543859649098
data\images\train\hk.00001\2021-01-08.png,0,hk.00001,2021-01-08,-0.006118881118881143
data\images\train\hk.00001\2021-01-11.png,0,hk.00001,2021-01-11,0.008826125330979701
data\images\train\hk.00001\2021-01-12.png,0,hk.00001,2021-01-12,0.011294526498696885
data\images\train\hk.00001\2021-01-13.png,0,hk.00001,2021-01-13,-0.006024096385542193
data\images\train\hk.00001\2021-01-14.png,0,hk.00001,2021-01-14,0.0026132404181184424
data\images\train\hk.00001\2021-01-15.png,0,hk.00001,2021-01-15,-0.006156552330694836
data\images\train\hk.00001\2021-01-18.png,0,hk.00001,2021-01-18,-0.03937007874015748
data\images\train\hk.00001\2021-01-19.png,0,hk.00001,2021-01-19,-0.050687285223367747
data\images\train\hk.00001\2021-01-20.png,0,hk.00001,2021-01-20,-0.028571428571428546
data\images\train\hk.00001\2021-01-21.png,0,hk.00001,2021-01-21,-0.04170286707211118
data\images\train\hk.00001\2021-01-22.png,0,hk.00001,2021-01-22,-0.049557522123893756
data\images\train\hk.00001\2021-01-25.png,0,hk.00001,2021-01-25,0.002732240437158444
data\images\train\hk.00001\2021-01-26.png,0,hk.00001,2021-01-26,-0.005429864253393614
data\images\train\hk.00001\2021-01-27.png,0,hk.00001,2021-01-27,-0.03921568627450985
data\images\train\hk.00001\2021-01-28.png,0,hk.00001,2021-01-28,-0.02991840435176788
data\images\train\hk.00001\2021-01-29.png,0,hk.00001,2021-01-29,-0.01210428305400383
data\images\train\hk.00001\2021-02-01.png,0,hk.00001,2021-02-01,-0.04632152588555853
data\images\train\hk.00001\2021-02-02.png,0,hk.00001,2021-02-02,-0.0272975432211101
data\images\train\hk.00001\2021-02-03.png,0,hk.00001,2021-02-03,-0.0074211502782931095
data\images\train\hk.00001\2021-02-04.png,0,hk.00001,2021-02-04,0.0
data\images\train\hk.00001\2021-02-05.png,1,hk.00001,2021-02-05,0.0405278039585298
data\images\train\hk.00001\2021-02-08.png,1,hk.00001,2021-02-08,0.05809523809523804
data\images\train\hk.00001\2021-02-09.png,1,hk.00001,2021-02-09,0.030869971936389122
data\images\train\hk.00001\2021-02-10.png,1,hk.00001,2021-02-10,0.03364485981308406
data\images\train\hk.00001\2021-02-11.png,1,hk.00001,2021-02-11,0.05420560747663549
data\images\train\hk.00001\2021-02-16.png,1,hk.00001,2021-02-16,0.05253623188405794
data\images\train\hk.00001\2021-02-17.png,1,hk.00001,2021-02-17,0.06390639063906399
data\images\train\hk.00001\2021-02-18.png,1,hk.00001,2021-02-18,0.12068965517241377
data\images\train\hk.00001\2021-02-19.png,1,hk.00001,2021-02-19,0.05967450271247748
data\images\train\hk.00001\2021-02-22.png,1,hk.00001,2021-02-22,0.04255319148936168
data\images\train\hk.00001\2021-02-23.png,0,hk.00001,2021-02-23,-0.005163511187607646
data\images\train\hk.00001\2021-02-24.png,0,hk.00001,2021-02-24,-0.011844331641286003
data\images\train\hk.00001\2021-02-25.png,0,hk.00001,2021-02-25,-0.04210526315789476
data\images\train\hk.00001\2021-02-26.png,0,hk.00001,2021-02-26,0.01109215017064844
data\images\train\hk.00001\2021-03-01.png,1,hk.00001,2021-03-01,0.029761904761904764
data\images\train\hk.00001\2021-03-02.png,1,hk.00001,2021-03-02,0.09861591695501735
data\images\train\hk.00001\2021-03-03.png,1,hk.00001,2021-03-03,0.05393835616438354
data\images\train\hk.00001\2021-03-04.png,1,hk.00001,2021-03-04,0.0431107354184278
data\images\train\hk.00001\2021-03-05.png,1,hk.00001,2021-03-05,0.03037974683544299
data\images\train\hk.00001\2021-03-08.png,1,hk.00001,2021-03-08,0.04624277456647406
data\images\train\hk.00001\2021-03-09.png,0,hk.00001,2021-03-09,-0.013385826771653566
data\images\train\hk.00001\2021-03-10.png,0,hk.00001,2021-03-10,0.008123476848090984
data\images\train\hk.00001\2021-03-11.png,0,hk.00001,2021-03-11,0.01944894651539701
data\images\train\hk.00001\2021-03-12.png,0,hk.00001,2021-03-12,-0.011466011466011396
data\images\train\hk.00001\2021-03-15.png,0,hk.00001,2021-03-15,-0.013417521704814545
data\images\train\hk.00001\2021-03-16.png,0,hk.00001,2021-03-16,0.002394253790901813
data\images\train\hk.00001\2021-03-17.png,0,hk.00001,2021-03-17,-0.01692183722804186
data\images\train\hk.00001\2021-03-18.png,0,hk.00001,2021-03-18,-0.03815580286168519
data\images\train\hk.00001\2021-03-19.png,0,hk.00001,2021-03-19,0.01159900579950283
data\images\train\hk.00001\2021-03-22.png,0,hk.00001,2021-03-22,-0.006399999999999977
data\images\train\hk.00001\2021-03-23.png,0,hk.00001,2021-03-23,-0.008757961783439445
data\images\train\hk.00001\2021-03-24.png,0,hk.00001,2021-03-24,0.015573770491803324
data\images\train\hk.00001\2021-03-25.png,1,hk.00001,2021-03-25,0.03223140495867773
data\images\train\hk.00001\2021-03-26.png,1,hk.00001,2021-03-26,0.021294021294021366
data\images\train\hk.00001\2021-03-29.png,1,hk.00001,2021-03-29,0.022544283413848606
data\images\train\hk.00001\2021-03-30.png,0,hk.00001,2021-03-30,0.01606425702811245
data\images\train\hk.00001\2021-03-31.png,0,hk.00001,2021-03-31,0.003228410008070956
data\images\train\hk.00001\2021-04-01.png,0,hk.00001,2021-04-01,0.0040032025620496394
data\images\train\hk.00001\2021-04-07.png,0,hk.00001,2021-04-07,0.01603849238171612
data\images\train\hk.00001\2021-04-08.png,0,hk.00001,2021-04-08,0.0015748031496063215
data\images\train\hk.00001\2021-04-09.png,0,hk.00001,2021-04-09,0.007905138339920948
data\images\train\hk.00001\2021-04-12.png,1,hk.00001,2021-04-12,0.03781174577634757
data\images\train\hk.00001\2021-04-13.png,1,hk.00001,2021-04-13,0.03508771929824566
data\images\train\hk.00001\2021-04-14.png,0,hk.00001,2021-04-14,0.0031570639305445263
data\images\train\hk.00001\2021-04-15.png,0,hk.00001,2021-04-15,0.009433962264150966
data\images\train\hk.00001\2021-04-16.png,0,hk.00001,2021-04-16,0.003137254901960829
data\images\train\hk.00001\2021-04-19.png,0,hk.00001,2021-04-19,-0.006201550387596988
data\images\train\hk.00001\2021-04-20.png,0,hk.00001,2021-04-20,-0.016178736517719634
data\images\train\hk.00001\2021-04-21.png,0,hk.00001,2021-04-21,0.0
data\images\train\hk.00001\2021-04-22.png,0,hk.00001,2021-04-22,0.0054517133956385406
data\images\train\hk.00001\2021-04-23.png,0,hk.00001,2021-04-23,-0.003909304143862392
data\images\train\hk.00001\2021-04-26.png,0,hk.00001,2021-04-26,-0.021840873634945267
data\images\train\hk.00001\2021-04-27.png,0,hk.00001,2021-04-27,-0.0015661707126076964
data\images\train\hk.00001\2021-04-28.png,0,hk.00001,2021-04-28,0.005507474429583028
data\images\train\hk.00001\2021-04-29.png,0,hk.00001,2021-04-29,-0.005422153369480934
data\images\train\hk.00001\2021-04-30.png,0,hk.00001,2021-04-30,0.010204081632652927
data\images\train\hk.00001\2021-05-03.png,1,hk.00001,2021-05-03,0.04864433811802228
data\images\train\hk.00001\2021-05-04.png,0,hk.00001,2021-05-04,0.005490196078431283
data\images\train\hk.00001\2021-05-05.png,0,hk.00001,2021-05-05,-0.006259780907668209
data\images\train\hk.00001\2021-05-06.png,0,hk.00001,2021-05-06,-0.024143302180685423
data\images\train\hk.00001\2021-05-07.png,0,hk.00001,2021-05-07,-0.031857031857031815
data\images\train\hk.00001\2021-05-10.png,0,hk.00001,2021-05-10,-0.04410646387832697
data\images\train\hk.00001\2021-05-11.png,0,hk.00001,2021-05-11,-0.030421216848673882
data\images\train\hk.00001\2021-05-12.png,0,hk.00001,2021-05-12,-0.022834645669291383
data\images\train\hk.00001\2021-05-13.png,0,hk.00001,2021-05-13,-0.019154030327214615
data\images\train\hk.00001\2021-05-14.png,0,hk.00001,2021-05-14,-0.024879614767255174
data\images\train\hk.00001\2021-05-17.png,0,hk.00001,2021-05-17,-0.03261734287987278
data\images\train\hk.00001\2021-05-18.png,0,hk.00001,2021-05-18,-0.005631536604987955
data\images\train\hk.00001\2021-05-20.png,0,hk.00001,2021-05-20,-0.00966962127316671
data\images\train\hk.00001\2021-05-21.png,0,hk.00001,2021-05-21,0.00569568755085426
data\images\train\hk.00001\2021-05-24.png,0,hk.00001,2021-05-24,0.0
data\images\train\hk.00001\2021-05-25.png,0,hk.00001,2021-05-25,-0.00657894736842103
data\images\train\hk.00001\2021-05-26.png,0,hk.00001,2021-05-26,-0.012135922330097087
data\images\train\hk.00001\2021-05-27.png,0,hk.00001,2021-05-27,-0.019528071602929256
data\images\train\hk.00001\2021-05-28.png,0,hk.00001,2021-05-28,-0.027508090614886665
data\images\train\hk.00001\2021-05-31.png,0,hk.00001,2021-05-31,-0.005761316872428007
data\images\train\hk.00001\2021-06-01.png,0,hk.00001,2021-06-01,-0.014900662251655606
data\images\train\hk.00001\2021-06-02.png,0,hk.00001,2021-06-02,-0.017199017199017154
data\images\train\hk.00001\2021-06-03.png,0,hk.00001,2021-06-03,-0.005809128630705418
data\images\train\hk.00001\2021-06-04.png,0,hk.00001,2021-06-04,-0.0049916805324459945
data\images\train\hk.00001\2021-06-07.png,0,hk.00001,2021-06-07,-0.016556291390728478
data\images\train\hk.00001\2021-06-08.png,0,hk.00001,2021-06-08,0.0
data\images\train\hk.00001\2021-06-09.png,0,hk.00001,2021-06-09,-0.011666666666666714
data\images\train\hk.00001\2021-06-10.png,0,hk.00001,2021-06-10,-0.005008347245408968
data\images\train\hk.00001\2021-06-11.png,0,hk.00001,2021-06-11,-0.015050167224080244
data\images\train\hk.00001\2021-06-15.png,0,hk.00001,2021-06-15,0.00673400673400671
data\images\train\hk.00001\2021-06-16.png,1,hk.00001,2021-06-16,0.03529411764705885
data\images\train\hk.00001\2021-06-17.png,1,hk.00001,2021-06-17,0.034569983136593666
data\images\train\hk.00001\2021-06-18.png,1,hk.00001,2021-06-18,0.03271812080536905
data\images\train\hk.00001\2021-06-21.png,1,hk.00001,2021-06-21,0.05432937181663842
data\images\train\hk.00001\2021-06-22.png,0,hk.00001,2021-06-22,0.01588628762541811
data\images\train\hk.00001\2021-06-23.png,0,hk.00001,2021-06-23,-0.01785714285714288
data\images\train\hk.00001\2021-06-24.png,0,hk.00001,2021-06-24,-0.020374898125509373
data\images\train\hk.00001\2021-06-25.png,0,hk.00001,2021-06-25,-0.01787164906580007
data\images\train\hk.00001\2021-06-28.png,0,hk.00001,2021-06-28,-0.03381642512077297
